070,a,9,"whichever, whichsoever (of two)",
207222,L3999028,n,9,"the ox worshipped as a god by the Egyptians, Apis",1666
207223,L4690010,n,9,a commission of the Aetolian league,
207224,L3149458,n,9,a people in Aetolia,
207225,L7119011,n,9,"Apollo, belonging or sacred to Apollo, of Apollo",1666
207226,L2624443,a,9,"id., relating or belonging to Apollo",
207227,L6898412,n,9,"a distinguished rhetorician, teacher of Augustus",
207228,L2667792,n,9,the name of several celebrated towns,2775
207229,L7360575,n,9,the inhabitants of Apollonis in Lydia,1696
207230,L4752267,n,9,a distinguished rhetorician in Rhodes,
207231,L4450971,n,9,a Venetian water god,1666
207232,L6542162,n,9,the name of a statue by Lysippus,
207233,L9151136,a,9,"of a castle in Rhaetia, Appian",
207234,L2124609,n,9,"a city of Latium, probably near Bovilloe",2775
207235,L6054801,n,9,"a Roman praenomen, especially of persons of the gens Claudia",2792
207236,L1702480,n,9,the name of several Romans,
207237,L6041385,n,9,the month of April,
207238,L7418837,n,9,a river in Umbria near Ariminum,2775
207239,L1361823,a,9,of or belonging to Aquoe,
207241,L8301353,n,9,a Roman praenomen,2792
207242,L6719390,n,9,"a town in Upper Italy, still called Aquileia, not far from Tergeste, built by the Romans after the second Punic war, as a protection against the neighboring tribes",2775
207243,L6236721,a,9,"Aquilian, proceeding from the jurist Aquilius",
207244,L5877645,n,9,"a town of the Hirpini, upon the river Aufidus, now Lacedogna",2775
207245,L6223881,n,9,"an inferior poet, friend of Cicero",
207246,L4576582,n,9,"a town in Latium, not far from Casinum, now Aquino, the birthplace of the poet Juvenal",2775
207247,L3034864,n,9,"in an extended sense, the country Arabia, divided by the ancients into Petroea, Deserta, and Felix",
207248,L1507526,a,9,Arabian,
207249,L8724447,n,9,"the son of Apollo and Babylon, represented as the inventor of the medical art",
207251,L2370985,n,9,"a province of the Persian kingdom, separated from India by the Indus",2775
207252,L3783070,n,9,"an island in the Persian Gulf, now Karek",2775
207253,L5368537,n,9,"a mountain in Aetolia, now Zygos",2775
207254,L7103449,a,9,"of or belonging to Aradus, a city on an island of the same name on the coast of Phoenicia",2775
207255,L3422547,n,9,a people in Cyrenaica in Africa,
207256,L1256596,a,9,"of or belonging to the Greek poet Aratus, Aratean",2748
207257,L4308227,n,9,"a Greek poet of Soli, in Cilicia",2748
207258,L4965063,n,9,a river in Gallia Narbonensis now Herault,2775
207259,L4945627,n,9,"a town in Gallia Narbonensis, now Orange",2775
207260,L6173184,n,9,"a river rising in Carmania, running through Gedrosia, and emptying into the Persian Gulf",2775
207261,L2063360,n,9,the name of a mimic actress in the time of Cicero,
207262,L8949250,n,9,"a mountainous province in the centre of the Peloponnesus, the Greek Switzerland",2775
207263,L9724322,a,9,of or pertaining to Arcoe,
207264,L8683470,n,9,"son of Jupiter and Callisto, the progenitor of the Arcadians, after his death placed as a constellation in heaven",2775
209793,L9735220,a,9,Pimplean,
207278,L6912500,n,9,a river in Epirus,2775
207281,L1113500,n,9,"a large town in Etruria, now Arezzo",2775
207266,L7640061,n,9,a town in Lydia,2775
207268,L8243872,n,9,a Greek poet of Paros,2748
207269,L2913559,n,9,"a celebrated mathematician of Syracuse, who, with his burning-glasses, set fire to the ships of the Roman besiegers of his native city",2775
207270,L4980695,n,9,an epithet of Apollo,
207271,L4147120,n,9,"the Bear-keeper, a constellation",
207272,L2788467,a,9,"of or belonging to Ardea, Ardean",
207273,L6488753,n,9,"a Sarmatian tribe, also called Arraei",
207274,L1436977,n,9,"a town in Southern Gaul, on the eastern branch of the Rhone, now Arles",2775
207275,L8038644,n,9,"an Areopagite, a member of the court of the Areopagus at Athens",
207276,L2219394,n,9,the war-god Mars,1666
207277,L6299003,n,9,"the wife of Alcinous, king of the Phoeacians",
207279,L1180320,n,9,a celebrated fountain near Syracuse,
207280,L1959500,a,9,of or pertaining to the town Aretium,2775
207283,L8457509,n,9,a town of the Bruttii,2775
207284,L2525143,n,9,"a standing epithet of a river in Gallia Narbonensis, now Argents",2775
207285,L9575445,n,9,"a word formed by Plautus in jest, as the name of one who is skilled in extorting money, a sponger",
207286,L3352320,n,9,"daughter of Adrastus, and wife of Polynices",
207287,L5134543,a,9,of or belonging to the place Argiletum,2775
207288,L3408799,n,9,"three small islands in the Aegean Sea, near Lesbos",2775
207289,L4181640,n,9,"a town in Athamania, now Knisovo",2775
207290,L3090072,n,9,the Argonauts,
207292,L5620292,n,9,the name of a man,
207293,L9702982,n,9,"a Persian province between Hyrcania, Gedrosia, and India, now the western part of Chorasan",2775
207295,L1083068,n,9,"a general name of the eastern provinces of the great Persian kingdom, now Afghanistan",2775
207296,L6196443,n,9,"an ancient town of Latium, in the neighborhood of Alba Longa, upon the Appian Way, now La Riccia",2775
207297,L9808720,n,9,a Scythian people in the north of Europe,
207298,L2783722,n,9,"a town in Umbria, on the shore of the Adriatic, at the mouth of a river of the same name",2775
207299,L3559256,n,9,a king of Cappadocia,
207300,L7775022,a,9,belonging to Arion,
207301,L1260480,n,9,a Sardinian,
207302,L1378428,n,9,"a distinguished critic of Alexandria, who animadverted with special severity upon the poetry of Homer, and contended that many of his verses were spurious",
207303,L7289905,n,9,"An Athenian renowned for his integrity, a contemporary and rival of Themistocles",
207304,L8983751,n,9,"a philosopher of Cyrene, disciple of Socrates, and founder of the Cyrenaic school",1545
207305,L4902090,n,9,"a philosopher of Chios, a pupil of Zeno, founder of the sceptic philosophy, and contemporary of Coesar",1545
207306,L3931633,n,9,"the most distinguished comic poet of Greece, from Lindus, on the island of Rhodes, a contemporary of Socrates",2775
207307,L7295098,n,9,"a very learned and distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
207308,L1737082,n,9,"a philosopher and musician, pupil of Aristotle",1545
207309,L6960790,n,9,a renowned heretic,
207310,L9440209,n,9,a fortress in Armenia,
207311,L1069659,n,9,"a town in Umbria, a mile east of Perusia, now Civitella d'Arno",2775
207312,L4895244,n,9,"a woman who betrayed her country, and was changed into a jackdaw",
207313,L1960803,n,9,"a river of Etruria, now the Arno",2775
207314,L8392119,n,9,"a city in Apulia, earlier called Argyripa, now Arpa",2775
207315,L6222900,n,9,"a town in Latium, the birthplace of Cicero and Marius, now Arpino",2775
207316,L5493370,n,9,"the wife of Poetus, distinguished for her magnanimity",
207317,L4578682,n,9,a promontory in Hispania,
207318,L8608536,n,9,the first king of the Parthians,
207319,L9093700,n,9,"a Roman colony in Mauretania Caesariensis, now Arzew",
207320,L7926177,n,9,"a small river of Istria, which became the boundary between Italy and Illyricum under Augustus",2775
207321,L8293106,n,9,"a forest in Etruria, celebrated for a battle between the Tarquinii and the Romans",
207322,L9790421,n,9,mother of the third Mercury,
207323,L4001309,a,9,Tac,
207324,L5417916,n,9,the Greek name of Diana,
209794,L1561345,n,9,"a Pimpliad, a Muse",
207326,L2708356,n,9,a promontory of the island Euboea,2775
207327,L8866471,n,9,a city of Assyria,2775
207328,L5624669,n,9,"an Etruscan name of the younger son, while the elder was called Lar or Lars",
207329,L2855789,n,9,"a people of Gaul, in the present Auvergne",1696
207331,L9927124,n,9,a region in Phrygia,2775
207332,L3809135,a,9,Ascanian,
207333,L1722046,n,9,"a distinguished physician of Prusa, in Bithynia, friend of Crassus",
207334,L6346645,n,9,a mathematician in the time of Domitian,
207335,L8334161,n,9,"a village in Boeotia, near Mount Helicon, the birthplace of Hesiod",2775
207336,L2190029,n,9,one of the early Roman historians,2737
207337,L4884327,n,9,a surname of Scipio Asiaticus,
207338,L2846245,n,9,"a high-priest, and overseer of games and theatrical exhibitions in the Roman province of Asia",2775
207339,L4125617,n,9,a town in Messenia,2775
207340,L1907626,n,9,a district and city in Serica,2775
207341,L5037637,n,9,a town in Hyrcania,2775
207342,L5840588,n,9,a people of India,1696
207343,L9229030,n,9,"the accomplished friend of Socrates, afterwards wife of Pericles",
207344,L8571891,n,9,"a town built by the Argives, in Pamphylia, on the Eurymedon, now Minugat",2775
207345,L3275957,n,9,"also Asphaltites lacus, aLake Asphaltites, in Palestine",
207346,L9223743,n,9,a deity of the Ethiopians,
207347,L3142101,n,9,"king of Phrygia, son of Tros, brother of Ganymede and Ilus, father of Capys, and grandfather of Anchises",
207348,L1618503,a,9,of or pertaining to the city Assus,2775
207349,L5764097,n,9,"a country of Asia, between Media, Mesopotamia, and Babylonia, now Kurdistan",
207350,L5271490,n,9,a town,2775
207351,L9917682,n,9,or a town in Bithynia,2775
207352,L9931993,n,9,"a town in Hispania Baetica, now Estepa",2775
207353,L7623052,n,9,the name of the Nile as it flows through Ethiopia,
207355,L3559619,n,9,"an Indian people, said to have no mouths",
207356,L9844487,n,9,"the goddess of Justice, who, during the Golden Age, lived on the earth, but finally abandoned it, and returned to heaven",1666
207357,L6019958,n,9,"a Titan, husband of Aurora, and father of the winds, which are ",
207358,L1728041,n,9,"the dice-players, a celebrated group of statuary by Polycletus",
207359,L9673044,n,9,"the Flash of Lightning, a painting by Apelles",
207360,L8551194,n,9,"the star-queen, a Phoenician goddess",1666
207361,L3099408,n,9,"m., of or belonging to the province of Asturia, in Hispania Tarraconensis, Asturian",2775
207362,L6906130,n,9,"a river in Asturia, now Esla, Flor",2775
207363,L1732190,n,9,Asturian,
207365,L8189541,n,9,the son of Hector,
207366,L5403344,n,9,"a centaur and soothsayer, who endeavored to dissuade the other centaurs from the war with the Lapithoe",
207367,L5715008,n,9,"one of the Sporades, an island near Crete, now Stampalia",2775
207368,L8747983,n,9,a town in Crete,2775
207369,L9055347,n,9,"a burning wind blowing in Apulia, now called sirocco",
207370,L7079007,n,9,"a daughter of king Schoeneus, in Boeotia, distinguished for her swiftness in running, conquered by Hippomenes by stratagem, and married by him",
207371,L1834437,n,9,"a Syrian deity, called also Derceto",
207372,L7480610,n,9,Steph,
207373,L5796167,n,9,"An ancient town of the Osci, in Campania, on the Clanius, near the present Aversa",2775
207374,L2734733,n,9,"a river in Samnium emptying into the Adriatic Sea, now Pescara",2775
207375,L3002368,n,9,a town in the country of the Venetians,2775
207376,L5460255,n,9,"a district in Epirus, on or near Mount Pindus",2775
207378,L3979261,n,9,"a town in Hispania Tarraconensis, now acc",2775
207379,L6207650,n,9,"Athens, the capital of Attica",
207380,L3403250,n,9,a fortress in Athamania,
207381,L6933211,n,9,"Athenae, of or pertaining to Athens, Athenian",
207382,L4018292,n,9,"a slave, leader in a slave - insurrection in Sicily",
207383,L7379580,a,9,"of or pertaining to a jurist Atherius, Atherian",
207384,L2661550,n,9,a Roman gentile name,
207385,L8926040,n,9,"a town in Latium, still called Atina",2775
207386,L3610100,n,9,"a region in Epirus, on the borders of Macedonia",2775
209981,L6018086,n,9,Quirinus,
207388,L9682674,n,9,"a people in the eastern part of Arabia Felix, now Hadramaut",
207389,L1871812,n,9,a small river in the vicinity of Rome,2775
207390,L4633713,a,9,"of Atrax, Atracian",
207391,L7237254,n,9,a son of Pelops,
207393,L6873306,n,9,one of the three Parcoe,
207394,L5164510,n,9,a surname for persons who walk upon the tips of their shoes,
207395,L9422120,n,9,name of a Greek city,2775
207396,L4679220,n,9,the inhabitants of the town Attalea or Attalia,2775
207397,L3104331,n,9,"the Attalian tribe in Athens, so called in honor of king Attalus",
207399,L8729186,n,9,the name of several Latin grammarians,
207400,L5969230,a,9,Attic or Athenian,
207401,L7972060,n,9,"the most distinguished province of Greece, situated in Hellas proper, with Athens as capital",2775
207402,L1867547,n,9,daughter of Atticus,
207403,L6727351,n,9,"a young Phrygian shepherd, whom Cybele loved, and made her priest on condition of perpetual chastity",
207404,L8281717,n,9,"a son of Hercules and Omphale, father of Tyrrhenus and Lydus, and ancestor of the Lydian kings",
207405,L3886409,n,9,a Scythian people in the present Ukraine,
207406,L9269262,a,9,of or belonging to the gens Aufeia,
207407,L1837100,n,9,"a town in Samnium, on the river Sagrus, now Alfidena",2775
207408,L7003355,n,9,"daughter of Aleus and Neoera of Tegea, in Arcadia, and mother of Telephus by Hercules",
207409,L3145869,n,9,"a son of the Sun and Naupidame, the daughter of Amphidamas, king of Elis, one of the Argonauts",
207410,L9807390,n,9,"relating to the emperor Augusius, of Augustus, Augustan",2798
207411,L1372165,n,9,Augustus,
207412,L7029149,n,9,the inhabitants of the city Augustobriga in Lusitania,2775
207413,L4721159,n,9,a people in Celtic Gaul,
207414,L9332493,n,9,"a seaport town in Boeotia, from which the Grecian fleet set sail for Troy",2775
207415,L3425764,a,9,of Aurelian,
207416,L1310201,n,9,a Roman nomen,2792
207417,L4920605,n,9,an older name for Saturnini,
207418,L1287822,n,9,the Aurunci,
207419,L5664902,n,9,a people of Ethiopia,1696
207420,L1552863,n,9,"a tributary stream of the river Arno, in Etruria, near Lucca, now Serchio",2775
207421,L8070497,a,9,"of or pertaining to the city Ausa, in Hispania Tarraconensis",2775
207422,L1008317,n,9,"an ancient town of the Ausones, near Minturnoe",2775
207424,L3733706,n,9,"an island to the north of Germany, also called Glessaria, now the island of Ameland, in West Friesland",2775
207425,L9094001,n,9,"a Getulian people on the west coast of Africa, north and south of Mount Atlas",
207426,L3863837,n,9,"son of Mercury and Chione, father of Anticlea, and maternal grandfather of Ulysses, a very dexterous robber, who could transform himself into various shapes",
207427,L2512108,n,9,a son of Diores and charioteer of Achilles,
207428,L1063629,n,9,"daughter of Cadmus, wife of Aristoeus, and mother of Actoeon",
207429,L3390286,n,9,"one of the Hours, daughter of Jupiter and Themis",
207430,L5484302,a,9,of or pertaining to Lake Avernus,
207431,L1186169,a,9,Without birds,
