,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
183991,00426635,a,10,"dressed (or especially habited) in white; ""white nuns""",
183996,00427662,a,10,"having the head uncovered: ""caught bareheaded by the downpour""; ""with bared head""",
183997,00427808,a,10,"having the legs uncovered by clothing: ""barelegged children on the beach""",
184001,00428328,a,10,"not covered with clothing: ""her exposed breast""",
184009,00429211,a,10,"having a saddle on or being mounted on a saddled animal: ""saddled and spurred and ready to ride""",
184011,00429449,a,10,"riding without a saddle: ""a bareback rider""",
184015,00430055,a,10,"free of clouds or rain: ""today will be fair and warm""",2126
184012,00429560,a,10,"(meteorology) free from clouds or mist or haze; ""on a clear day""",2126
183960,00422196,a,10,"like or befitting a cousin: ""a cousinly kiss""",
184016,00430159,a,10,"completely clear and fine: ""serene skies and a bright blue sea""","1946,2126"
184018,00430514,a,10,"filled or abounding with fog or mist: ""a brumous October morning""",2126
184021,00430862,a,10,"darkened with overcast: ""a dark day""; ""a dull sky""; ""a gray rainy afternoon""; ""gray clouds""; ""the sky was leaden and thick""",2126
184022,00431059,a,10,"darkened by clouds: ""a heavy sky""",2126
184024,00431307,a,10,"clouded with a mixture of smoke and fog: ""the smoggy atmosphere of Los Angeles""",2126
184026,00431710,a,10,"along or following a coast: ""coastal shipping""; ""coastwise winds contributed to the storm""",
184027,00431856,a,10,"close to a shore: ""inshore fisheries""",
184013,00429748,a,10,"abounding with sunlight: ""a bright sunny day""; ""one shining norming""-John Muir; ""when it is warm and shiny""",2126
183988,00426295,a,10,inadequately or too informally clothed,
183990,00426519,a,10,dressed in ceremonial garments especially clerical vestment,
183992,00426741,a,10,not wearing clothing,
183994,00427283,a,10,(used informally) completely unclothed,
183999,00428100,a,10,possessing no clothing,
184000,00428208,a,10,partly dressed in a loose or careless manner,
184002,00428441,a,10,inadequately clothed,
184003,00428551,a,10,as naked as at birth,
184004,00428744,a,10,partially clothed,
184005,00428816,a,10,(British informal) stark naked,
184006,00428901,a,10,with clothing stripped off,
184007,00428982,a,10,having removed clothing,
184008,00429121,a,10,without any clothing at all,
184010,00429361,a,10,with no saddle,
184019,00430656,a,10,filled or abounding with clouds,2126
184020,00430778,a,10,resembling a cloud,2126
183961,00422314,a,10,"like an uncle in kindness or indulgence: ""showed avuncular concern""",
184046,00435050,a,10,not capable of collapsing,
211382,L3161281,v,9,To speak a language,
184047,00435171,a,10,not telescopic,
184049,00435410,a,10,without chinks or crannies,
184050,00435502,a,10,forming a whole or aggregate,
184053,00436046,a,10,formed by fitting or joining components together,
184054,00436171,a,10,characterized by the principle of ownership by the state or the people of the means of production,
184055,00436328,a,10,serving to distribute or allot or disperse,
184056,00436555,a,10,possible to distribute,
184057,00436663,a,10,spreading by diffusion,
184067,00438289,a,10,suppressed quietly or indirectly,
184073,00439183,a,10,suitable for publication,
184074,00439265,a,10,not suitable for publication,
184033,00432808,a,10,"of or coming from the middle of a region or country: ""upcountry districts""",
184034,00432959,a,10,"surrounded entirely or almost entirely by land: ""a landlocked country""",
184040,00433925,a,10,"without logical or meaningful connection: ""a turgid incoherent presentation""",
184035,00433086,a,10,"(of winds) coming from the sea toward the land; ""an inshore breeze""; ""an onshore gale""; ""seaward winds""",2126
184036,00433263,a,10,"(of winds) coming from the land; ""offshore winds""",2126
184075,00439353,a,10,"made known or told about; especially presented in a formal account: ""his reported opinion""; ""the reported findings""",
184030,00432302,a,10,"of or on or relating to the seashore: ""seashore resorts""; ""a shore dinner""; ""a marine on shore duty""",
184042,00434422,a,10,"capable of collapsing or being collapsed: ""a collapsible boat""",
184043,00434628,a,10,"capable of being folded up and stored: ""a foldaway bed""",
184044,00434762,a,10,"having parts that slide one within another: ""a telescopic antenna""; ""a telescopic drinking cup""",
184045,00434914,a,10,"constructed so as to tip up or out of the way: ""the little tip-up seat of the taxi""",
184051,00435713,a,10,"clustered together but not coherent: ""an agglomerated flower head",
184052,00435879,a,10,"gathered or tending to gather into a mass or whole: ""the aggregate amount of indebtedness""",
184058,00436826,a,10,"spreading throughout: ""armed with permeative irony...he punctures affectations""; ""the pervasive odor of garlic",
184060,00437327,a,10,"spreading through: ""suffusive purple light""",
184062,00437595,a,10,"called to public attention: ""these advertised products""",
184061,00437426,a,10,made known; especially made widely known,
184065,00438003,a,10,"formally made public: ""published accounts""",
184072,00439077,a,10,"not published: ""unpublished letters and diaries""",
184078,00439827,a,10,"reported or spread by word of mouth: ""their rumored breakup""",
184066,00438115,a,10,kept from public knowledge by various means;,
184068,00438377,a,10,"(used of information or news) kept secret by using influence; ""hushed-up stories sometimes leak out""",
184079,00439941,a,10,"not reported: ""unreported results""",
184076,00439577,a,10,"(followed by ""to"") as reported or stated by; ""according to historians""",
184091,00441434,a,10,"capable of catching fire spontaneously or causing fires or burning readily: ""an incendiary agent""; ""incendiary bombs""",
184082,00440311,a,10,marked by or relating to or resulting from combination,
184038,00433594,a,10,"marked by an orderly, logical, and aesthetically consistent relation of parts: ""a logical argument""; ""the orderly presentation""",
184080,00440032,a,10,"(of income) required by law to be reported; ""reportable income""",1768
184092,00441608,a,10,like peat; rich in combustible carbonized vegetable matter,
184032,00432675,a,10,situated away from an area's coast or border,
184083,00440491,a,10,(mathematics) relating to the combination and arrangement of elements in sets,2873
184084,00440628,a,10,able to or tending to combine,
184085,00440759,a,10,not involving combination,
184086,00440863,a,10,not able to combine,
184087,00440941,a,10,capable of igniting and burning,
184088,00441120,a,10,possible to burn,
184089,00441241,a,10,supporting combustion,
184090,00441343,a,10,can emit sparks or burst into flame,
184093,00441718,a,10,not capable of igniting and burning,
184094,00441902,a,10,impervious to damage by fire,
184095,00441986,a,10,difficult to burn,
184064,00437883,a,10,"publicly announced: ""the royal couple's much heralded world tour""",
184096,00442115,a,10,resistant to catching fire,
184097,00442216,a,10,impossible to ignite,
184100,00442777,a,10,exploding almost instantaneously,
184106,00443899,a,10,not set afire,
184131,00449067,a,10,of equal extent or duration,
184135,00449749,a,10,not proportionate,
184136,00449829,a,10,not having a common factor,
184137,00449917,a,10,being in due proportion,
184139,00450200,a,10,(archaic) proportionate,
184141,00450538,a,10,out of proportion,
184149,00452156,a,10,not connected with or engaged in commercial enterprises,2872
184150,00452343,a,10,not commercially motivated,2872
184152,00452595,a,10,not having been commercialized,2872
184099,00442569,a,10,"(of munitions) going off; ""bursting bombs""; ""an exploding nuclear device""; ""a spectacular display of detonating anti-tank mines""",1781
184104,00443597,a,10,"set afire: ""the ignited paper""; ""a kindled fire""",
184105,00443721,a,10,"not set afire or burning: ""the table was bare, the candles unlighted""; ""held an unlit cigarette""",
184109,00444362,a,10,"uncomfortably or inconveniently small: ""incommodious hotel accommodations""",
184108,00444189,a,10,"(of buildings and rooms) having ample space; ""a roomy but sparcely furnished apartment""; ""a spacious ballroom""",
184112,00445103,a,10,"enjoying or affording comforting warmth and shelter especially in a small space: ""a cozy nook near the fire""; ""snug in bed""; ""a snug little apartment""",
184113,00445318,a,10,"affording comfort: ""soft light that was easy on the eyes""",
184115,00445607,a,10,"affording physical relief: ""a soothing ointment for her sunburn""",
184133,00449305,a,10,"agreeing in amount, magnitude, or degree: ""the figures are large but the corresponding totals next year will be larger""",
184118,00446252,a,10,"without comfort: ""a comfortless room""",
184119,00446347,a,10,"causing physical discomfort: ""bites of black flies are more than irritating; they can be very painful""",
184120,00446516,a,10,"characterized by physical misery: ""a wet miserable weekend""; ""spent a wretched night on the floor""",
184121,00446681,a,10,"uncomfortable because of possible danger or trouble: ""made things warm for the bookies""",
184123,00447272,a,10,"socially at ease: ""was at ease with strangers""",
184124,00447375,a,10,"made comfortable or more comfortable in a time of distress: ""the news make her feel comforted""",
184144,00451123,a,10,"of or relating to or characteristic of trade or traders: ""the mercantile North was forging ahead""-Van Wyck Brooks",2872
184128,00448478,a,10,"causing mental discomfort: ""the disquieting sounds of nearby gunfire""",
184130,00448844,a,10,"corresponding in size or degree or extent: ""pay should be commensurate with the time worked""",
184132,00449166,a,10,"able to be measured by a common standard: ""hours and minutes are commensurable""",
184138,00450072,a,10,"per person: ""among the states Connecticut has a high per capita income""",
184159,00454025,a,10,"lacking special distinction, rank, or status; commonly encountered: ""average people""; ""the ordinary (or common) man in the street""",2234
184143,00450971,a,10,"organized principally for financial gain: ""Christmas has become a commercialized spectacle""",2872
184140,00450284,a,10,"properly related in size or degree or other measurable characteristics; usually followed by ""to""; ""punishment oughtt to be proportional to the crime""; ""earnings relative to production""",
184151,00452445,a,10,"not conducive to commercial success: ""might prove arty and hence uncommercial""-H.E.Clurman",2872
